product.name,product.temperature,affiliation.commission.price.value,product.blueprint,product.price.value,product.totalAnswers,product.category,affiliation.commission.price.currency,affiliation.commission.percentage,producer.name,producer.ucode
Projeto Shape em 90 dias com Renan Treinador,21.0,2.23,30.0,49.99,0,category.personal_development.name,BRL,5.0,Renan Oliveira Treinador,36ee1d97-7e8f-4f9c-8e2c-64eea4972c6d
Bora vencer a Síndrome do Pânico?,21.0,8.76,75.0,20.0,0,category.health_and_sports.name,BRL,50.0,André,29bf872a-33c4-4953-9310-2bbe54662226
Pack advocacia - 300 posts legendados,21.0,0.24,40.0,5.99,0,category.law.name,BRL,5.0,Pack Canva - Advogado(a),ba583e28-596c-4cf8-84be-1fa0adceb78d
Trade Alertas,8.89,0.0,56.0,497.0,6,category.finance.name,BRL,0.0,PRECISO Investimentos,4a08a663-6640-4192-b2a0-0473966b3a28
Inexplor | Infoprodutos Ocultos para Afiliados,12.09,0.0,69.0,98.0,0,category.software.name,BRL,0.0,Bruno,f24b6912-2d7c-4838-9fad-ed619b6f6052
Receitas para bolos cremosos,21.0,0.05,22.0,6.0,0,category.gastronomy.name,BRL,1.0,Mauro,9c70085d-399a-40e6-beae-d604713aebf6
Texto Irresistível,28.63,6757.38,81.0,30000.0,7,category.general.name,BRL,25.0,Lara Brenner,c3d307a4-529d-4be8-b313-45c447202fbc
Estratégias Avançadas de Marketing Digital: Maximizando Lucros Online,21.0,15.1,75.0,21.5,0,category.digital_entrepreneurship.name,BRL,80.0,Vanusa,abf3aa15-9efe-491f-9c6b-8d6d96b3b126
Qual a Importância de Gerenciar seu Salário?,21.0,3.5,45.0,20.0,0,category.finance.name,BRL,20.0,William,cd033fc0-3666-4d72-9bb2-73dc08e2ca58
Team Kronoz,21.0,0.0,75.0,200000.0,0,category.internet.name,COP,0.0,AVSdenstsu,16e9b339-dc6e-426b-b637-38dfe69f8a04
Internet Ilimitada para celular,21.0,11.01,67.0,25.0,0,category.software.name,BRL,50.0,Elisa,c1eacf41-ccf0-4a52-b945-fb8ec8049a1a
DESAFIO DETOX DE DOPAMINA,21.0,64.4,81.0,89.9,0,category.personal_development.name,BRL,80.0,Sergio Schmith,3401f513-8c9a-4352-bf38-576cd5675a63
o poder da felicidade,14.55,134.85,65.0,250.0,0,category.spirituality.name,BRL,60.0,Cláudio s d,81b5dc5c-2d3a-4270-bfb8-c82a8aa961e2
Robô Slot Pgsoft,21.0,44.8,75.0,100.0,0,category.finance.name,BRL,50.0,Pamela,4e5e9a79-6de3-43c1-861d-4f1b26dfadbb
Furtune tinger vip 2.0,21.0,15.47,65.0,34.9,0,category.hobbies.name,BRL,50.0,Matheus sousa,894771f1-39d4-4fcd-b363-095dedf90365
DESIGN GRÁFICO 📈,21.0,0.0,21.0,14.99,0,category.design.name,BRL,0.01,Kzinn,2b2fd851-8697-4a1a-9833-864bb368b241
NOVA PROFISSÃO - Murilo Henrique,21.0,223.65,91.0,497.0,0,category.digital_entrepreneurship.name,BRL,50.0,Antônio,9c512a2c-0283-418c-8c9e-6f7526f5c90f
Bot Fortune Tiger,11.02,18.77,46.0,70.0,1,category.finance.name,BRL,30.0,Rosarin ,541787fc-bc26-4e76-911c-9fc71fb744fb
Bot Fortune Rabbit,21.0,17.42,46.0,65.0,0,category.finance.name,BRL,30.0,Rosarin ,541787fc-bc26-4e76-911c-9fc71fb744fb
Double Fortune Tiger ,21.0,7.88,70.0,19.99,0,category.digital_entrepreneurship.name,BRL,45.0,PrincesaDosRobôs,b8b45f58-f6ac-4631-8aa1-047fad5037c7
SLOT VENCEDOR,0.0,88.5,77.0,197.0,0,category.finance.name,BRL,50.0,Rayckson,382dbfe7-ccb2-47a6-abbf-ef3deddec3ab
Aplicativo de Sinais - Poseidon Sinais,0.0,0.0,48.0,120.0,0,category.software.name,BRL,0.0,Poseidon Sinais,7aee2364-d572-4df6-a6fd-d76652347c21
FORTUNA TIGRE 🐅,21.0,2.25,31.0,45.95,0,category.finance.name,BRL,5.51,Kelvin Teixeira Silva,f933c4ed-7435-490b-9877-f2a14a4cedcf
 Estratégias validadas Para Future Tiger e book mais Sala de Sinais Com Alta Taxa de Assertividade 98%,21.0,6.39,75.0,9.99,0,category.digital_entrepreneurship.name,BRL,80.0,oportunidadesafrente ,35fd1d62-9035-4339-b1f2-977a113c94de
Estratégia 2.0 Turbo | Horários é Minutos pagantes Fortune Tiger é Furtune Mouse,21.0,3.2,65.0,9.99,0,category.finance.name,BRL,40.0,Rafael gomes,cc32d774-748e-4a20-bd87-a9017a8a23d0
Fortune Tiger + Fortune Rabbit ,6.8,7.97,70.0,19.99,0,category.digital_entrepreneurship.name,BRL,45.5,Wesley Monopoly Sinais & Robôs,477c0d80-25ad-4fc0-bbc4-ad33690fa004
Robô Fortune tiger- Abra todas as cartas 10x,21.0,3.19,85.0,4.99,0,category.finance.name,BRL,80.0,Elevemax,f7bdda19-fee8-4531-877c-5b9d2f16fe1d
ROBÔ VENDEDOR AUTOMÁTICO,21.0,71.68,91.0,100.0,0,category.digital_entrepreneurship.name,BRL,80.0,João,9cfc7bf6-3fff-4bee-999f-e8a6dd949a18
Método Shark Milionário,21.0,68.07,91.0,95.0,0,category.digital_entrepreneurship.name,BRL,80.0,João,9cfc7bf6-3fff-4bee-999f-e8a6dd949a18
Primeira Venda em 24H,21.0,13.94,91.0,19.9,0,category.digital_entrepreneurship.name,BRL,80.0,João,9cfc7bf6-3fff-4bee-999f-e8a6dd949a18
Técnicas de Manutenção em Nobreaks,21.0,108.91,47.0,1007.88,0,category.education.name,BRL,12.0,Instructiva - Instruindo com criatividade ,bf091faa-deda-4be5-8d59-195de07eae2e
IDÉIAS DE RENDA EXTRA EM CASA,21.0,8.72,75.0,19.9,0,category.finance.name,BRL,50.0,ORLANDO,d86c0bf8-151c-445e-ae89-fbe00ec9549f
Hacks Digitais L21*,15.27,6667.15,83.0,14800.0,71,category.education.name,BRL,50.0,Yuri Yoshizaki,312e77df-0d9f-45aa-bacf-c6c5f077bdda
MestreGPT: O Oráculo do Empreendedor com o ChatGPT [ PACK COMPLETO +10.000 PROMPTS + BÔNUS ],21.0,70.8,74.0,197.0,0,category.digital_entrepreneurship.name,BRL,40.0,Fomento Business &amp; Consulting,2a9bfa2e-6dce-40c1-b11e-0d8278d6548e
Grupo VIP Brasil,11.02,9.85,51.0,37.0,0,category.sexuality.name,BRL,30.0,Gb digital,8b7a8489-874a-48f3-9afa-f84c977bbae5
Aulas Particulares de Anatomia e Fisiologia Humana ,21.0,360.3,47.0,2000.0,0,category.health_and_sports.name,BRL,20.0,Professor Felipe Barros,4fb05cc8-6107-4c7e-9f89-a42ac15c44d1
O tal do Emagrecer,21.0,1.77,26.0,39.9,0,category.health_and_sports.name,BRL,5.0,Jleonardo,0ca67050-5266-4ac9-92f4-827da4bffafe
Pack De 30 Artes de Barbeiro,21.0,5.2,65.0,14.99,0,category.design.name,BRL,40.0,Luiz Gabriel,690bf33e-2796-4460-9bd0-d9b88dd4d74d
DO PONTO AO LUCRO,21.0,8.72,61.0,19.9,0,category.business_and_careers.name,BRL,50.0,Luciana,cb2b1380-63b3-4c5f-92ca-84b7febd8b76
Como Desenhar Ninjas - Guia Definitivo,12.12,7.39,36.0,97.0,1,category.education.name,BRL,8.5,JENISCH,b69f0ee0-da0a-4a02-948d-51709d3940e1
Receitas para emagrecer em 15 dias.,21.0,0.17,26.0,19.9,0,category.health_and_sports.name,BRL,1.0,Home Bié,83f39081-cac5-4b3a-938c-b77e04c3f275
"O guia do vendedor, aprenda a vender mesmo sem experiencia ",21.0,1.9,45.0,7.9,0,category.business_and_careers.name,BRL,30.0,Thiago Pinheiro,24108fa2-4ed9-465d-92bc-f5415a6be940
EMAGREÇA HJ,21.0,33.41,65.0,50.0,0,category.health_and_sports.name,BRL,75.0,WELL,fb3479b1-5b8e-4792-b815-887eb93a17af
TUDO SOBRE EDUCAÇÃO FINANCEIRA ,21.0,1.07,28.0,40.0,0,category.personal_development.name,BRL,3.0,Lucas Itachi,a118dad5-70a8-4641-bb45-ca2963dd6a88
O MANUAL  COMPLETO PARA OBTER MEDICAMENTOS DE ALTO CUSTO PELO SUS,21.0,4.46,41.0,50.0,0,category.law.name,BRL,10.0,lucia cascais nisterenko,1ca23288-bf07-462f-ab1b-8fea166ea6c7
MÉTODO ENRIQUECENDO NO DIGITAL,21.0,357.84,91.0,497.0,0,category.digital_entrepreneurship.name,BRL,80.0,Digital,ce06360d-0dd8-4b10-bca8-3f9b60f68435
MOLDE CONJUNTO BLAZER E CROPPED ,16.64,13.34,41.0,49.9,0,category.fashion_and_beauty.name,BRL,30.0,W A MACHADO,ba90fe27-da64-4577-b858-6278ca668727
